viewport,nota,lienzo_hoy_cri7,clase_cri10,reposo,con_detalle,caja_reposo,hoja,cb1,cb2,cb4,cb6
320×568,"",,K0,0.796,0.350,320×452,bottom,true,true,true,true
360×800,"",,K0,0.855,0.376,360×684,bottom,true,true,true,true
375×667,"",,K0,0.826,0.363,375×551,bottom,true,true,true,true
390×844,"",0.810,K0,0.863,0.379,390×728,bottom,true,true,true,true
844×390,"",0.695,K0,0.867,0.538,844×338,side,true,true,true,true
768×1024,"",0.828,K0,0.887,0.391,768×908,bottom,true,true,true,true
900×1000,"",0.824,M1,0.861,0.526,824×940,,true,true,true,true
1024×1366,"",,X2,0.799,0.500,856×1306,,true,true,true,true
1024×768,"",0.246,M1,0.853,0.565,948×708,,true,true,true,true
1112×834,"",,X2,0.788,0.521,944×774,,true,true,true,true
1180×820,"",,X2,0.795,0.544,1012×760,,true,true,true,true
1280×800,"",0.303,X2,0.804,0.572,1112×740,,true,true,true,true
1366×768,"",,X2,0.808,0.593,1198×708,,true,true,true,true
1440×900,"",0.361,X2,0.824,0.617,1272×840,,true,true,true,true
1536×960,"",0.392,X2,0.835,0.640,1368×900,,true,true,true,true
1920×1080,"",,X2,0.862,0.704,1752×1020,,true,true,true,true
2560×1440,"",,X2,0.895,0.776,2392×1380,,true,true,true,true
